3R PETROLEUM,RRRP3,Petróleo. Gás e Biocombustíveis
3TENTOS,TTEN3,Consumo não Cíclico
ABC BRASIL,ABCB4,Financeiro
ACO ALTONA,EALT3,Bens Industriais
ACO ALTONA,EALT4,Bens Industriais
AERIS,AERI3,Bens Industriais
AES BRASIL,AESB3,Energia E Saneamento
AFLUENTE T,AFLT3,Energia E Saneamento
AGRIBRASIL,GRAO3,Consumo não Cíclico
AGROGALAXY,AGXY3,Consumo não Cíclico
ALFA CONSORC,BRGE11,Financeiro
ALFA CONSORC,BRGE12,Financeiro
ALFA CONSORC,BRGE3,Financeiro
ALFA CONSORC,BRGE5,Financeiro
ALFA CONSORC,BRGE6,Financeiro
ALFA CONSORC,BRGE7,Financeiro
ALFA CONSORC,BRGE8,Financeiro
ALFA FINANC,CRIV3,Financeiro
ALFA FINANC,CRIV4,Financeiro
ALFA HOLDING,RPAD3,Financeiro
ALFA HOLDING,RPAD5,Financeiro
ALFA HOLDING,RPAD6,Financeiro
ALFA INVEST,BRIV3,Financeiro
ALFA INVEST,BRIV4,Financeiro
ALIANSCE,ALSC3,Financeiro
ALIANSCSONAE,ALSO3,Financeiro
ALIPERTI,APTI3,Bens Industriais
ALIPERTI,APTI4,Bens Industriais
ALLIAR,AALR3,Saúde
ALLIED,ALLD3,Consumo Cíclico
ALPARGATAS,ALPA3,Outros
ALPARGATAS,ALPA4,Outros
ALPER S.A.,APER3,Financeiro
ALPHAVILLE,AVLL3,Consumo Cíclico
ALUPAR,ALUP11,Outros
ALUPAR,ALUP3,Outros
ALUPAR,ALUP4,Outros
AMAZONIA,BAZA3,Financeiro
AMBEV S/A,ABEV3,Consumo não Cíclico
AMBIPAR,AMBP3,Outros
AMERICANAS,AMER3,Consumo Cíclico
AMPLA ENERG,CBEE3,Energia E Saneamento
ANIMA,ANIM3,Consumo Cíclico
AREZZO CO,ARZZ3,Consumo Cíclico
ARMAC,ARML3,Consumo Cíclico
ASSAI,ASAI3,Consumo não Cíclico
ATOMPAR,ATOM3,Outros
AURA 360,AURA33,Materiais Básicos
AZEVEDO,AZEV3,Bens Industriais
AZEVEDO,AZEV4,Bens Industriais
AZUL,AZUL4,Outros
B3,B3SA3,Financeiro
BAHEMA,BAHI3,Consumo Cíclico
BANCO BMG,BMGB4,Financeiro
BANCO INTER,BIDI11,Financeiro
BANCO INTER,BIDI3,Financeiro
BANCO INTER,BIDI4,Financeiro
BANCO PAN,BPAN4,Financeiro
BANESE,BGIP3,Financeiro
BANESE,BGIP4,Financeiro
BANESTES,BEES3,Financeiro
BANESTES,BEES4,Financeiro
BANPARA,BPAR3,Financeiro
BANRISUL,BRSR3,Financeiro
BANRISUL,BRSR5,Financeiro
BANRISUL,BRSR6,Financeiro
BARDELLA,BDLL3,Bens Industriais
BARDELLA,BDLL4,Bens Industriais
BAUMER,BALM3,Bens Industriais
BAUMER,BALM4,Bens Industriais
BBMLOGISTICA,BBML3,Bens Industriais
BBSEGURIDADE,BBSE3,Financeiro
BEMOBI TECH,BMOB3,Tecnologia da Informação
BIC MONARK,BMKS3,Consumo Cíclico
BIOMM,BIOM3,Saúde
BK BRASIL,BKBR3,Consumo Cíclico
BLAU,BLAU3,Saúde
BOA SAFRA,SOJA3,Consumo não Cíclico
BOA VISTA,BOAS3,Financeiro
BOMBRIL,BOBR3,Outros
BOMBRIL,BOBR4,Outros
BR BROKERS,BBRK3,Financeiro
BR HOME,HCBR3,Consumo Cíclico
BR MALLS PAR,BRML3,Financeiro
BR PARTNERS,BRBI11,Financeiro
BR PHARMA,BPHA3,Saúde
BR PROPERT,BRPR3,Financeiro
BRADESCO,BBDC3,Financeiro
BRADESCO,BBDC4,Financeiro
BRADESPAR,BRAP3,Outros
BRADESPAR,BRAP4,Outros
BRASIL,BBAS3,Financeiro
BRASILAGRO,AGRO3,Consumo não Cíclico
BRASKEM,BRKM3,Petróleo. Gás e Biocombustíveis
BRASKEM,BRKM5,Petróleo. Gás e Biocombustíveis
BRASKEM,BRKM6,Petróleo. Gás e Biocombustíveis
BRB BANCO,BSLI3,Financeiro
BRB BANCO,BSLI4,Financeiro
BRF SA,BRFS3,Consumo não Cíclico
BRISANET,BRIT3,Comunicações
BRQ,BRQB3,Tecnologia da Informação
BTGP BANCO,BPAC11,Financeiro
BTGP BANCO,BPAC3,Financeiro
BTGP BANCO,BPAC5,Financeiro
CAIXA SEGURI,CXSE3,Financeiro
CAMBUCI,CAMB3,Consumo Cíclico
CAMIL,CAML3,Consumo não Cíclico
CARREFOUR BR,CRFB3,Consumo não Cíclico
CASAN,CASN3,Energia E Saneamento
CASAN,CASN4,Energia E Saneamento
CBA,CBAV3,Materiais Básicos
CCR SA,CCRO3,Outros
CEA MODAS,CEAB3,Consumo Cíclico
CEB,CEBR3,Energia E Saneamento
CEB,CEBR5,Energia E Saneamento
CEB,CEBR6,Energia E Saneamento
CEDRO,CEDO3,Consumo não Cíclico
CEDRO,CEDO4,Consumo não Cíclico
CEEE-D,CEED3,Energia E Saneamento
CEEE-D,CEED4,Energia E Saneamento
CEEE-T,EEEL3,Energia E Saneamento
CEEE-T,EEEL4,Energia E Saneamento
CEG,CEGR3,Energia E Saneamento
CELESC,CLSC3,Energia E Saneamento
CELESC,CLSC4,Energia E Saneamento
CELGPAR,GPAR3,Energia E Saneamento
CELPE,CEPE3,Energia E Saneamento
CELPE,CEPE5,Energia E Saneamento
CELPE,CEPE6,Energia E Saneamento
CEMEPE,MAPT3,Outros
CEMEPE,MAPT4,Outros
CEMIG,CMIG3,Energia E Saneamento
CEMIG,CMIG4,Energia E Saneamento
CESP,CESP3,Energia E Saneamento
CESP,CESP5,Energia E Saneamento
CESP,CESP6,Energia E Saneamento
CIELO,CIEL3,Financeiro
CIMS,CMSA3,Outros
CIMS,CMSA4,Outros
CINESYSTEM,CNSY3,Comunicações
CLEARSALE,CLSA3,Financeiro
COELBA,CEEB3,Energia E Saneamento
COELBA,CEEB5,Energia E Saneamento
COELBA,CEEB6,Energia E Saneamento
COELCE,COCE3,Energia E Saneamento
COELCE,COCE5,Energia E Saneamento
COELCE,COCE6,Energia E Saneamento
COGNA ON,COGN3,Consumo Cíclico
COMERC PAR,COMR3,Energia E Saneamento
COMGAS,CGAS3,Petróleo. Gás e Biocombustíveis
COMGAS,CGAS5,Petróleo. Gás e Biocombustíveis
COMPASS,PASS3,Outros
COMPASS,PASS5,Outros
COMPASS,PASS6,Outros
CONST A LIND,CALI3,Outros
CONST A LIND,CALI4,Outros
COPASA,CSMG3,Energia E Saneamento
COPEL,CPLE11,Energia E Saneamento
COPEL,CPLE3,Energia E Saneamento
COPEL,CPLE5,Energia E Saneamento
COPEL,CPLE6,Energia E Saneamento
COSAN,CSAN3,Petróleo. Gás e Biocombustíveis
COSAN LOG,RLOG3,Bens Industriais
COSERN,CSRN3,Energia E Saneamento
COSERN,CSRN5,Energia E Saneamento
COSERN,CSRN6,Energia E Saneamento
COTEMINAS,CTNM3,Consumo não Cíclico
COTEMINAS,CTNM4,Consumo não Cíclico
CPFL ENERGIA,CPFE3,Energia E Saneamento
CR2,CRDE3,Consumo Cíclico
TRONOX,CRPG3,Petróleo. Gás e Biocombustíveis
TRONOX,CRPG5,Petróleo. Gás e Biocombustíveis
TRONOX,CRPG6,Petróleo. Gás e Biocombustíveis
CRUZEIRO EDU,CSED3,Consumo Cíclico
CSNMINERACAO,CMIN3,Materiais Básicos
CSU CARDSYST,CARD3,Financeiro
CTC S.A.,CTCA3,Consumo não Cíclico
CURY S/A,CURY3,Consumo Cíclico
CVC BRASIL,CVCB3,Consumo Cíclico
CYRELA REALT,CYRE3,Consumo Cíclico
D1000VFARMA,DMVF3,Saúde
DASA,DASA3,Saúde
DESKTOP,DESK3,Comunicações
DEXCO,DXCO3,Materiais Básicos
DEXXOS PAR,DEXP3,Outros
DEXXOS PAR,DEXP4,Outros
DIMED,PNVL3,Saúde
DIMED,PNVL4,Saúde
DIRECIONAL,DIRR3,Consumo Cíclico
DOHLER,DOHL3,Outros
DOHLER,DOHL4,Outros
DOMMO,DMMO3,Petróleo. Gás e Biocombustíveis
DOTZ SA,DOTZ3,Consumo Cíclico
DTCOM-DIRECT,DTCY3,Telecomunicações
DTCOM-DIRECT,DTCY4,Telecomunicações
ECORODOVIAS,ECOR3,Bens Industriais
ELEKTRO,EKTR3,Energia E Saneamento
ELEKTRO,EKTR4,Energia E Saneamento
ELETROBRAS,ELET3,Energia E Saneamento
ELETROBRAS,ELET5,Energia E Saneamento
ELETROBRAS,ELET6,Energia E Saneamento
ELETROMIDIA,ELMD3,Comunicações
ELETROPAR,LIPR3,Energia E Saneamento
EMAE,EMAE3,Energia E Saneamento
